1481406354
task	R	T	Offset	priority	allocation
47	0.278	4	0	6	1
48	4.27	5	3.8	8	2
49	0.834	5	0	9	1
50	8.31	100	0	24	1
51	16.9	20	15	10	0
52	35	400	1.91	24	2
53	1.5	20	0	16	1
54	0.839	20	0	14	2
55	2.65	20	0	11	0
56	0.212	2	0	4	2
57	35.2	200	0.41	30	1
58	114	500	0	38	1
59	34.7	200	0	29	1
60	7.65	100	0	15	0
61	59.5	400	0	34	1
62	0.0626	1	0	1	1
63	138	1000	0.41	26	0
64	47.7	500	0	27	2
65	0.475	5	0	9	2
66	0.0315	1	0	1	2
67	28	100	19.1	25	1
68	68.5	100	56	17	0
69	0.0494	1	0	2	0
70	34.6	200	0	20	0
71	99.6	400	0	36	1
72	1.48	20	0	15	1
73	1.74	20	0	15	2
74	11.4	50	7.65	21	1
75	36.4	200	0	31	1
76	115	1000	0	24	0
77	64.5	1000	0.0553	29	2
78	0.86	10	0	8	0
79	31.8	200	0	28	1
80	5.46	40	0	13	0
81	9.89	50	0	19	2
82	11.2	50	0	20	2
83	0.483	5	0	10	2
84	1.32	10	0	13	1
85	0.725	10	0	12	2
86	8.65	50	0	18	2
87	0.238	2	0	5	0
88	3.43	40	0	20	1
89	0.0507	1	0	3	0
90	0.428	4	0	6	2
91	64.4	1000	8.42	28	2
92	1.6	20	0.41	9	0
93	1.63	5	1.32	7	0
94	1.36	10	0	14	1
95	0.436	4	0	7	2
96	11.5	100	0	21	2
97	35.6	400	0	25	2
98	43.5	400	0	32	1
99	0.0687	1	0	2	1
----------------------------------------
1481406491
task	R	T	Offset	priority	allocation
0	0.0204	2	0	3	1
1	4.69	50	0	19	1
2	38.8	200	0	27	1
3	0.252	5	0	6	1
4	155	500	0	36	1
5	134	500	45.4	32	1
6	58.1	200	38.8	27	0
7	57.6	500	5.57	30	0
8	2.14	20	0	14	0
9	5.74	50	0	21	1
10	1.27	10	0	10	1
11	0.406	10	0	9	1
12	3.59	20	0	16	1
13	5.76	20	3.59	15	0
14	188	1000	0	38	1
15	200	1000	0	39	1
16	138	500	0	33	1
17	368	1000	188	34	0
18	6.56	40	0.0868	21	0
19	1.31	10	0	11	1
20	2.36	20	0	16	0
21	19	100	3.59	25	0
22	4.67	20	0.0932	18	0
23	103	1000	3.91	32	0
24	0.00349	1	0	0	0
25	4.58	40	0	18	1
26	0.0115	1	0	0	1
27	209	1000	55.8	33	0
28	0.0089	1	0	0	2
29	66.5	200	0	30	1
30	36.4	200	0	26	1
31	1.99	10	0	13	1
32	12.9	100	0	22	1
33	4.81	5	4.58	7	2
34	189	500	134	31	0
35	0.0964	2	0	3	2
36	1.94	10	0.081	12	1
37	2.35	10	0	14	1
38	76.5	500	0	31	1
39	4.74	40	0	19	0
40	1.93	20	0	13	0
41	31.9	500	0	28	0
42	147	500	0.382	34	1
43	56.2	200	0.378	29	1
44	3.91	20	0	17	1
45	22.9	50	17.3	20	1
46	0.378	4	0	8	0
47	0.0153	1	0	1	0
48	187	1000	0	35	0
49	0.128	4	0	5	1
50	0.0813	2	0	4	0
51	39.8	500	0	29	0
52	16.1	100	0.157	26	0
53	26	500	2.35	19	2
54	0.183	4	0	6	2
55	0.356	4	0	7	0
56	3.66	20	0	17	0
57	248	1000	0	36	0
58	6.56	40	0	22	0
59	259	1000	0	37	0
60	14.6	100	0.0964	23	1
61	0.382	4	0	9	0
62	0.0932	2	0	4	1
63	0.442	5	0	10	0
64	0.121	2	0	4	2
65	14.8	100	0	24	1
66	0.369	5	0	7	1
67	2.46	10	0	15	1
68	1.19	10	0	10	2
69	4.54	200	0.0318	15	2
70	7.61	50	0.0089	23	0
71	0.897	10	0	12	0
72	17.9	100	0	25	1
73	0.0121	1	0	1	1
74	0.698	10	0	9	2
75	0.0991	2	0	5	0
76	8.79	200	0	17	2
77	0.081	1	0	1	2
78	6.38	40	0	20	0
79	0.157	2	0	5	2
80	14.9	500	0	18	2
81	3.28	50	0	14	2
82	270	1000	0	40	1
83	0.0318	1	0	2	0
84	7.69	10	5.76	11	2
85	2.52	40	0	13	2
86	0.37	10	0	8	1
87	0.459	5	0	8	2
88	2.16	20	0	12	2
89	4.9	200	0	16	2
90	32.5	1000	0	20	2
91	11	100	0	24	0
92	148	500	0	35	1
93	0.0152	1	0	2	1
94	0.0868	1	0	2	2
95	0.569	5	0	11	0
96	0.0394	1	0	3	0
97	0.316	4	0	6	0
98	39.2	200	0	28	1
99	185	1000	0	37	1
----------------------------------------
1481406493
task	R	T	Offset	priority	allocation
0	33.4	200	0.626	24	1
1	0.626	5	0	9	0
2	0.723	5	0	10	0
3	0.841	5	0	11	0
4	0.999	10	0	14	0
5	299	1000	0	41	0
6	1.35	10	0	15	0
7	6.24	40	0	24	0
8	6.53	10	6.24	7	1
9	49	400	0.0744	36	0
10	53.1	100	33.4	34	0
11	37.8	100	20.2	31	0
12	0.091	2	0	2	2
13	1.79	10	0	16	0
14	74.2	200	37.8	25	1
15	38	500	2.73	17	2
16	0.901	5	0	12	0
17	1.88	10	0	17	0
18	171	500	53.1	30	1
19	6.3	100	0	11	2
20	12.7	100	0	12	2
21	0.632	50	0	7	2
22	36.8	1000	0.137	19	2
23	114	1000	53.1	20	2
24	26.3	400	0	35	0
25	2.73	20	0	22	0
26	0.169	2	0	4	0
27	3.07	20	0	10	1
28	0.684	10	0	8	1
29	0.149	5	0	5	1
30	4.43	20	0	23	0
31	18.2	100	2.73	15	2
32	7.65	40	0	26	0
33	69.6	500	0	37	0
34	12.5	50	0	27	0
35	2.4	10	0	20	0
36	0.0124	1	0	0	0
37	2.25	10	0	18	0
38	0.179	2	0	5	0
39	147	500	0.128	39	0
40	0.22	10	0	6	1
41	1.42	2	1.35	3	1
42	0.00391	1	0	0	1
43	3.49	20	0	11	1
44	13.7	100	0	28	0
45	0.271	5	0	5	2
46	16.9	100	2.73	13	2
47	74.7	400	0	27	1
48	16.7	100	0	30	0
49	2.27	10	0	19	0
50	0.211	2	0	6	0
51	18	100	0.0128	32	0
52	19	100	0	33	0
53	94.6	500	0	38	0
54	13	100	0	19	1
55	0.966	5	0	13	0
56	0.0352	1	0	1	0
57	350	1000	13	42	0
58	179	1000	0	40	0
59	0.281	4	0	7	0
60	0.422	4	0	8	0
61	14.3	100	0	20	1
62	5.65	40	0	13	1
63	0.0045	1	0	0	2
64	133	500	13.7	31	1
65	0.0568	1	0	2	0
66	233	500	94.6	32	1
67	0.0957	2	0	4	1
68	0.118	4	0	3	2
69	35.4	500	0	18	2
70	15.8	100	0	29	0
71	8.73	100	0	18	1
72	2.71	20	0	21	0
73	4.44	40	0	12	1
74	0.294	1	0.281	1	1
75	140	500	0.281	33	1
76	3.96	100	0	10	2
77	31.5	200	0	23	1
78	5.66	50	0	14	1
79	11.8	40	4.44	25	0
80	144	1000	0	34	1
81	16.4	100	0	21	1
82	1.17	10	0	9	1
83	79.2	400	0	28	1
84	39.3	400	0	26	1
85	2.53	50	0	9	2
86	0.0744	1	0	1	2
87	73.1	1000	11.8	21	2
88	0.128	4	0	4	2
89	0.393	10	0	6	2
90	97.2	400	2.71	29	1
91	5.69	50	0	15	1
92	5.71	50	0	16	1
93	6.6	50	0	17	1
94	14.9	100	0	14	2
95	17.4	400	0	16	2
96	1.19	50	0	8	2
97	16.6	100	0.0568	22	1
98	0.137	1	0	3	0
99	0.0328	1	0	2	1
----------------------------------------
1481406494
task	R	T	Offset	priority	allocation
0	13.7	200	0	18	2
1	18.4	40	13.7	17	0
2	0.0288	2	0	1	2
3	0.109	2	0	2	2
4	0.623	10	0	8	2
5	0.142	4	0	4	2
6	0.263	4	0	5	2
7	70.6	1000	13.4	26	2
8	5.56	50	0.623	20	0
9	2.92	20	0.263	13	0
10	2.41	40	0	13	2
11	0.462	4	0.263	5	1
12	1.13	20	0	13	1
13	19.4	200	0	25	0
14	7.63	50	0	20	1
15	0.12	2	0	2	0
16	2.53	20	0.229	14	1
17	11.5	200	0	17	2
18	47.1	100	19.4	26	1
19	49.4	100	19.4	27	1
20	2.88	5	2.41	7	1
21	36.7	200	0	28	1
22	0.232	2	0.109	3	0
23	19.1	200	2.53	19	2
24	0.114	2	0	2	1
25	0.0194	1	0	0	0
26	142	1000	7.92	37	0
27	0.586	10	0	8	0
28	4.88	40	0	18	0
29	0.473	5	0	8	1
30	0.383	5	0	7	2
31	22.6	200	0	20	2
32	59.3	400	0	29	1
33	12.5	100	0	24	1
34	188	1000	0	33	1
35	172	500	2.66	32	1
36	153	400	0	31	1
37	198	1000	0.623	34	1
38	51.2	400	0	23	2
39	0.411	4	0	6	1
40	0.00481	1	0	0	1
41	8.39	100	0	15	2
42	144	400	51.2	31	0
43	34.4	200	0	21	2
44	0.00699	1	0	0	2
45	117	1000	0	35	0
46	51.2	200	6.7	22	2
47	1.98	20	0	11	2
48	0.277	5	0	6	0
49	14.4	20	11.5	15	1
50	2.28	20	0.411	10	2
51	0.645	10	0	9	0
52	8.79	100	0.263	23	0
53	4.9	50	0	19	0
54	0.371	4	0	6	2
55	69.3	400	12.5	24	2
56	91.4	400	0	30	0
57	11.2	40	4.88	17	1
58	0.703	10	0	10	0
59	1.66	20	0	12	0
60	76.6	400	0	28	0
61	131	1000	0	36	0
62	10.6	100	0	23	1
63	14.8	100	0	25	1
64	2.97	40	0	16	1
65	0.578	10	0	10	1
66	7.92	50	0	21	1
67	14.5	100	7.92	14	2
68	0.316	5	0	7	0
69	6.7	50	0	21	0
70	0.898	10	0	9	2
71	2.39	20	0	12	2
72	0.778	10	0	11	0
73	57.1	500	0	25	2
74	8.98	50	0	22	1
75	0.155	2	0	3	1
76	2.76	20	0	14	0
77	281	500	172	34	0
78	0.659	10	0	12	1
79	0.113	2	0	3	2
80	95.7	400	0	32	0
81	0.143	4	0	5	0
82	0.141	2	0	4	0
83	8.4	100	0	16	2
84	77	400	0	29	0
85	0.025	1	0	1	0
86	0.183	2	0	4	1
87	182	200	153	26	0
88	252	400	153	33	0
89	0.0401	1	0	1	1
90	7.29	40	0	18	1
91	7.49	40	0	19	1
92	9.44	10	8.79	11	1
93	2.91	20	0	15	0
94	6.75	50	0	22	0
95	3.41	40	0	16	0
96	0.563	5	0	9	1
97	43	200	9.44	27	0
98	13.4	200	0	24	0
99	98.7	400	0	30	1
----------------------------------------
1481406499
task	R	T	Offset	priority	allocation
0	337	1000	3.73	42	1
1	0.211	4	0	6	1
2	1.97	20	0	14	1
3	1.76	20	0	13	1
4	4.86	40	0.0684	17	0
5	0.307	4	0	7	1
6	29.4	200	0	24	0
7	3.3	20	0	15	0
8	0.0958	2	0	3	1
9	166	500	0	35	1
10	0.0033	1	0	0	0
11	25.4	200	1.83	28	1
12	0.253	10	0	9	0
13	2.65	40	0	16	1
14	18	200	0	25	1
15	4.2	10	3.3	12	1
16	0.111	2	0	4	1
17	260	1000	2.65	32	0
18	0.142	2	0	5	1
19	22.7	200	0.0206	26	1
20	0.128	2	0	5	0
21	0.0185	1	0	0	1
22	203	1000	7.04	37	1
23	128	500	0	33	1
24	7.66	100	0	20	0
25	477	1000	203	33	0
26	0.183	5	0	7	0
27	17.4	200	0.0185	23	0
28	261	500	128	30	0
29	13.3	100	0	24	1
30	7.06	50	0.021	19	0
31	249	1000	0	38	1
32	59.8	400	0	27	0
33	1.91	2	1.76	3	2
34	205	500	128	29	0
35	0.385	5	0	8	1
36	5.91	50	0	19	1
37	14.2	100	5.91	21	0
38	138	500	0.0033	34	1
39	0.653	10	0	11	1
40	29.7	200	0	25	0
41	173	1000	0	31	0
42	0.408	5	0	9	1
43	0.00871	1	0	0	2
44	0.00918	1	0	1	0
45	0.616	5	0	10	1
46	169	500	0.883	36	1
47	278	1000	0.694	39	1
48	1.19	10	0	8	2
49	7.31	50	0	20	1
50	0.021	1	0	1	1
51	73.9	400	0.653	28	0
52	3.25	50	0	13	2
53	0.883	10	0	7	2
54	0.0256	1	0	1	2
55	11.3	100	0	22	1
56	294	1000	3.3	40	1
57	19.4	20	18	14	0
58	3.62	200	0	14	2
59	0.0206	1	0	3	0
60	0.0684	1	0	2	1
61	56.4	1000	19.4	22	2
62	38.5	200	1.97	26	0
63	32.8	200	1.56	29	1
64	12.7	100	0	23	1
65	23.4	200	0	27	1
66	3.1	40	0	17	1
67	2.16	20	0	15	1
68	0.694	10	0	11	0
69	0.179	5	0	5	2
70	3.27	4	3.1	4	2
71	0.832	10	0	12	0
72	4.69	40	0	18	1
73	1.35	10	0	9	2
74	0.0707	1	0	2	2
75	16.8	500	0	21	2
76	7.89	50	0	21	1
77	0.022	1	0	4	0
78	0.18	2	0	6	0
79	0.0141	1	0	2	0
80	0.593	10	0	10	0
81	0.571	10	0	6	2
82	2.61	20	0	11	2
83	2.71	20	0	12	2
84	9.41	200	0	16	2
85	34.5	200	0	30	1
86	15.6	100	0	22	0
87	0.188	5	0	8	0
88	13.1	400	0	18	2
89	13.8	500	0	19	2
90	341	1000	29.7	41	1
91	15.7	500	0	20	2
92	1.56	10	0	10	2
93	4.6	200	0	15	2
94	86.5	400	0	32	1
95	9.78	200	0	17	2
96	38.4	400	0	31	1
97	1.09	20	0	13	0
98	3.66	40	0	16	0
99	6.5	50	0	18	0
----------------------------------------
1481406501
task	R	T	Offset	priority	allocation
0	0.166	4	0	5	1
1	429	1000	232	46	1
2	0.258	4	0	6	1
3	1.2	10	0	13	1
4	260	1000	133	29	0
5	137	500	0	42	1
6	87.9	400	0	38	1
7	4.73	50	0	23	1
8	147	500	0	43	1
9	0.416	5	0	8	1
10	191	500	21.8	45	1
11	79.4	400	0	37	1
12	4.86	5	4.73	7	2
13	9.62	100	0	28	1
14	4.81	50	0	25	1
15	93.8	400	3.8	39	1
16	44.8	200	0	33	1
17	1.55	10	0	14	1
18	0.442	10	0	9	2
19	4.8	50	0	24	1
20	1.22	20	0	11	2
21	2.65	20	0	19	1
22	0.787	5	0	9	1
23	58.6	200	5.77	34	1
24	0.0611	1	0	0	0
25	13.5	100	0	29	1
26	0.0896	2	0	2	1
27	131	400	1.4	40	1
28	6.86	50	0	15	2
29	1.35	20	0	11	0
30	2.59	40	0.178	12	2
31	69.7	200	0	35	1
32	3.84	40	0	16	0
33	77.9	400	0	36	1
34	6.22	100	0	26	1
35	26.9	500	0	21	2
36	9.43	100	0	27	1
37	0.0244	1	0	0	1
38	0.0258	1	0	0	2
39	0.0309	1	0	1	2
40	103	500	9.43	27	0
41	4.38	40	0	13	2
42	0.91	10	0	9	0
43	0.404	4	0	7	1
44	11.9	400	1.35	19	2
45	0.0555	2	0	3	2
46	10.5	200	0	18	2
47	174	500	7.36	44	1
48	6.86	20	4.5	17	1
49	1.91	20	0	12	0
50	1.79	10	0	15	1
51	2.65	20	0	20	1
52	5.89	40	0.122	14	2
53	21.8	400	0	20	2
54	0.0812	1	0	1	0
55	0.178	2	0	3	0
56	0.101	2	0	3	1
57	0.792	5	0	10	1
58	0.529	5	0	7	0
59	7.36	50	0	17	0
60	0.0802	2	0	4	2
61	0.182	5	0	8	2
62	0.25	2	0	4	0
63	3.8	40	0	15	0
64	0.421	4	0	6	0
65	63.2	500	0.0244	26	0
66	11	50	0	18	0
67	3.46	40	0	21	1
68	0.0708	1	0	1	1
69	3.24	40	0	14	0
70	16.4	100	0	19	0
71	24.7	200	0	20	0
72	2.63	20	0	18	1
73	0.828	1	0.792	2	2
74	18.2	200	0.25	30	1
75	23.7	200	0	31	1
76	0.522	2	0.404	5	2
77	0.56	2	0.421	4	1
78	0.549	2	0.421	6	2
79	0.122	1	0	2	0
80	3.76	10	2.63	10	0
81	0.818	5	0	8	0
82	4.17	10	1.91	16	1
83	98.9	1000	0	28	0
84	0.932	10	0	11	1
85	8.47	10	7.36	12	1
86	133	500	0	41	1
87	35.5	200	0	32	1
88	3.91	40	0	22	1
89	168	1000	18.2	30	0
90	48.1	200	18.2	21	0
91	0.253	2	0	5	0
92	37.4	400	0	23	0
93	53.1	400	3.91	24	0
94	6.31	20	3.91	13	0
95	6.96	100	0	16	2
96	9.93	100	0	17	2
97	0.583	20	0	10	2
98	36.5	400	0	22	0
99	58.4	500	0	25	0
----------------------------------------
1481406505
task	R	T	Offset	priority	allocation
0	88.4	400	0.799	25	2
1	0.966	40	0	16	1
2	36.3	200	2.67	18	2
3	3.68	20	0	22	0
4	0.13	2	0	4	0
5	210	1000	119	37	0
6	2.55	20	0	20	0
7	38.6	200	4.12	19	2
8	6.08	100	0.859	19	1
9	0.867	5	0	14	0
10	0.642	10	0	13	1
11	143	1000	0.0318	28	2
12	122	500	31.2	26	2
13	0.0318	2	0	3	1
14	0.657	1	0.642	0	0
15	0.00751	1	0	0	1
16	55.8	200	0	33	0
17	0.202	4	0	7	1
18	106	1000	40.3	30	1
19	0.0324	1	0	0	2
20	0.513	4	0.202	8	0
21	0.17	2	0	5	0
22	7.68	100	0	12	2
23	4.74	50	0	10	2
24	40.1	200	5.49	20	2
25	0.0544	2	0	4	1
26	0.34	4	0	9	0
27	62.7	500	0.71	28	1
28	0.935	5	0	16	0
29	0.0631	1	0	1	0
30	0.421	5	0	10	1
31	0.725	5	0	12	0
32	12	100	0	28	0
33	8.14	100	0.17	13	2
34	62.9	500	0	29	1
35	0.859	5	0	13	0
36	0.1	2	0	3	2
37	1.21	20	0	19	0
38	53.5	200	5.71	21	2
39	0.0954	2	0	3	0
40	5.81	40	0	25	0
41	5.71	40	0	24	0
42	0.214	2	0	6	0
43	0.529	1	0.513	1	1
44	11.8	100	0.0324	27	0
45	2.67	20	0	21	0
46	0.0541	1	0	1	2
47	109	1000	11.8	31	1
48	3.92	20	0	23	0
49	0.0945	1	0	2	0
50	6.98	40	0.302	26	0
51	54.5	200	5.71	22	2
52	0.0801	2	0	5	1
53	6.49	100	0.273	20	1
54	0.211	4	0	8	1
55	118	1000	0.0954	27	2
56	0.273	4	0	5	2
57	0.478	5	0	11	1
58	0.799	40	0	15	1
59	0.479	5	0	12	1
60	0.916	5	0	15	0
61	1.1	5	0	17	0
62	0.935	1	0.916	2	1
63	54.5	500	0	27	1
64	1.2	5	0	18	0
65	65.4	200	12	23	2
66	0.302	4	0	6	2
67	24.1	200	0.34	25	1
68	1.37	50	0	17	1
69	4.29	10	3.92	8	2
70	74.6	1000	0	36	0
71	71.3	400	0	35	0
72	26.8	200	0	16	2
73	37.3	100	0	32	0
74	23.4	200	0	24	1
75	114	200	55.8	24	2
76	0.342	4	0	10	0
77	7.66	100	0	21	1
78	158	1000	0.0954	29	2
79	0.139	2	0	4	2
80	28.6	200	0	17	2
81	1.66	20	0	9	2
82	45.1	500	2.67	26	1
83	17.1	200	0	15	2
84	0.78	20	0	14	1
85	0.37	4	0	9	1
86	72.1	100	62.9	14	2
87	49.9	50	45.1	11	2
88	0.228	2	0	7	0
89	59	200	0.0541	34	0
90	0.309	4	0	7	2
91	3.26	50	0	18	1
92	0.186	2	0	6	1
93	15	200	0	23	1
94	31.4	100	0.202	31	0
95	0.0777	1	0	2	2
96	71.9	100	59	22	1
97	17.7	100	0	29	0
98	30.8	100	0	30	0
99	0.71	4	0	11	0
----------------------------------------
1481406508
task	R	T	Offset	priority	allocation
0	4.94	40	0	23	1
1	1.74	10	0	13	1
2	267	1000	7.33	41	1
3	7.91	200	0	17	0
4	0.297	4	0	6	2
5	68.2	500	0	39	1
6	0.892	20	0	9	0
7	9.37	200	0	18	0
8	35.8	1000	4.94	20	0
9	2.5	20	0	17	1
10	5.97	40	0	24	1
11	0.618	5	0	10	2
12	0.284	5	0	9	1
13	0.043	1	0	0	0
14	163	1000	68.2	32	2
15	463	1000	163	44	1
16	2.22	20	0	16	1
17	9.71	100	0	29	1
18	2.96	40	0	22	1
19	0.377	4	0	7	2
20	0.386	5	0	10	1
21	0.391	5	0	11	1
22	1.61	10	0	12	1
23	3.16	10	2.22	13	2
24	2.69	20	0.119	18	1
25	55.3	400	0.391	29	2
26	1.32	10	0	14	2
27	0.0654	2	0	5	1
28	0.223	2	0	4	2
29	7.65	50	0.0654	20	2
30	3.9	40	0.101	18	2
31	0.0332	1	0	0	1
32	0.131	2	0	4	0
33	2.87	20	0	19	1
34	9.68	100	0	22	2
35	11.6	100	0	23	2
36	14.8	100	0	24	2
37	0.919	40	0	10	0
38	1.87	10	0	14	1
39	0.0454	1	0	0	2
40	2.24	40	0.618	11	0
41	59.2	500	0	37	1
42	17.7	100	0	25	2
43	279	1000	11.6	42	1
44	7.33	200	0	16	0
45	0.0994	1	0	1	0
46	0.743	5	0	11	2
47	0.412	1	0.377	1	1
48	66.6	500	0.0994	38	1
49	28.5	200	0	33	1
50	5.96	50	0	19	2
51	2.88	20	0	20	1
52	0.105	1	0	2	2
53	84.7	500	0	31	2
54	0.101	2	0	6	1
55	0.752	5	0	12	2
56	132	1000	2.5	33	2
57	13.7	100	0.788	30	1
58	0.103	1	0	2	0
59	7.68	50	0.105	27	1
60	6.27	40	0	25	1
61	7.42	40	0	26	1
62	2.88	20	0	21	1
63	2.42	50	0	12	0
64	59.6	400	0	30	2
65	1.32	10	0	15	2
66	3.2	4	2.88	6	0
67	0.0631	2	0	4	1
68	28.7	200	0	34	1
69	0.186	4	0	8	1
70	0.788	4	0	7	0
71	0.972	1	0.919	2	1
72	0.16	2	0	5	0
73	2.21	10	0	15	1
74	16.8	100	0	31	1
75	0.122	1	0	3	2
76	0.289	4	0	5	2
77	0.0616	1	0	1	2
78	0.47	4	0	8	2
79	27.3	100	0	26	2
80	9.05	100	0.289	28	1
81	33.6	200	0.289	35	1
82	3.16	20	0	17	2
83	0.498	4	0	9	2
84	17.4	100	0	32	1
85	9.67	100	0	21	2
86	3.6	100	0	14	0
87	6.96	200	0	15	0
88	2.43	50	0	13	0
89	44.9	400	0	28	2
90	29.8	100	0	27	2
91	275	1000	0	43	1
92	89.7	1000	0	40	1
93	0.88	4	0	8	0
94	57.4	500	0	36	1
95	4.75	20	2.88	16	2
96	0.144	2	0	7	1
97	0.119	1	0	3	0
98	25.7	400	0	19	0
99	0.848	1	0.788	3	1
----------------------------------------
1481406509
task	R	T	Offset	priority	allocation
0	0.246	4	0	6	1
1	3.7	100	0.016	16	1
2	0.0494	2	0	1	2
3	243	1000	0	36	1
4	3.03	100	0	12	2
5	56	1000	0	18	2
6	0.981	20	0	7	2
7	0.988	1	0.981	0	0
8	138	1000	0.00674	20	2
9	3.81	5	3.03	13	0
10	17.8	100	0	31	0
11	70.1	200	56	23	1
12	3.08	100	0	13	2
13	0.0138	1	0	1	0
14	143	1000	0.279	21	2
15	3.85	4	3.7	7	0
16	99.1	1000	0.662	19	2
17	187	1000	1.84	34	1
18	0.0361	1	0	0	1
19	1.77	20	0	19	0
20	0.323	4	0	8	0
21	28.7	40	23	24	0
22	1.36	20	0	13	1
23	27.5	400	0	25	1
24	1.79	40	0	15	1
25	3.48	20	0	21	0
26	111	1000	0	36	0
27	2.48	5	1.36	14	0
28	0.115	2	0	3	1
29	4.69	20	0	22	0
30	47	400	7.47	16	2
31	4.34	100	0	17	1
32	5.11	20	0.246	23	0
33	8.67	40	0	26	0
34	0.98	10	0	12	1
35	62.9	500	0	30	1
36	75.1	200	56	24	1
37	0.413	5	0	10	1
38	238	1000	0	37	0
39	5.81	100	0	18	1
40	0.524	5	0	6	2
41	0.279	4	0	7	1
42	72.9	400	0.981	33	0
43	1.15	5	0	15	0
44	44.2	400	28.7	15	2
45	0.05	1	0	2	0
46	0.114	2	0	4	0
47	0.371	4	0	9	0
48	0.0562	1	0	1	1
49	55	500	2.29	29	1
50	13.3	50	0	29	0
51	2.29	40	0	9	2
52	0.016	1	0	0	2
53	1.43	10	0	17	0
54	161	200	152	21	1
55	132	1000	0	31	1
56	0.135	2	0	4	1
57	10.4	100	3.48	19	1
58	20.1	50	4.34	30	0
59	0.0862	1	0	3	0
60	248	1000	0.127	37	1
61	1.8	5	0.524	16	0
62	142	1000	0	33	1
63	1.87	2	1.79	2	2
64	0.127	2	0	5	0
65	2.62	20	0	20	0
66	73.7	500	0	34	0
67	38	200	0	32	0
68	0.153	2	0	5	1
69	12.9	40	0.115	27	0
70	0.312	4	0	8	1
71	53.1	500	0	17	2
72	151	1000	0	22	2
73	0.666	5	0	12	0
74	0.391	4	0	4	2
75	0.227	2	0	3	2
76	0.662	5	0	11	1
77	196	1000	0	35	1
78	165	1000	0.401	23	2
79	26.6	100	17.8	20	1
80	43.9	400	1.43	27	1
81	5.52	200	0	14	2
82	2.44	50	0	10	2
83	0.343	4	0	9	1
84	27.6	400	0	26	1
85	46.4	500	0	28	1
86	3.93	10	2.44	18	0
87	13.4	40	0.115	28	0
88	1.44	20	0	8	2
89	0.131	2	0	6	0
90	0.401	4	0	10	0
91	7.47	40	0	25	0
92	0.465	1	0.371	2	1
93	142	1000	0	32	1
94	12.7	200	0	22	1
95	1.49	40	0	14	1
96	2.67	50	0	11	2
97	0.499	4	0	5	2
98	79.2	1000	0	35	0
99	0.656	4	0	11	0
----------------------------------------
1481406513
task	R	T	Offset	priority	allocation
0	0.000487	1	0	0	0
1	1.5	10	0	17	0
2	0.209	4	0	9	0
3	0.372	4	0	10	0
4	0.0163	1	0	1	0
5	7.29	500	0.372	13	2
6	75.9	400	0.209	32	1
7	14.7	50	0	31	0
8	117	500	18.4	34	1
9	0.433	4	0	11	0
10	0.107	2	0	6	1
11	0.0312	1	0	2	0
12	94	400	0.0312	33	1
13	2.26	20	0	20	0
14	29.7	200	2.26	27	1
15	10.6	20	7.29	21	0
16	8.71	20	7.29	15	1
17	18.5	100	0	34	0
18	0.0227	1	0	0	1
19	0.563	4	0	10	1
20	2.2	20	0	16	1
21	93.8	400	0	40	0
22	0.00167	1	0	0	2
23	0.653	10	0	11	1
24	68	400	0	31	1
25	2.98	5	2.2	13	0
26	0.0447	1	0	3	0
27	17.2	100	0	32	0
28	131	500	0	42	0
29	31.5	200	0	28	1
30	0.377	4	0	8	1
31	1.42	20	0	14	1
32	2.59	40	0	17	1
33	2.46	40	0	8	2
34	4.51	50	0.0289	10	2
35	4.49	50	0	11	2
36	0.181	2	0	7	1
37	1.26	10	0.00167	13	1
38	19.6	100	0	22	1
39	431	1000	131	37	1
40	11.4	500	0	14	2
41	5.09	20	1.42	22	0
42	0.893	5	0	14	0
43	0.0255	1	0	1	1
44	0.0568	1	0	1	2
45	3.77	40	0	19	1
46	33.1	400	0	30	1
47	6.12	20	0	23	0
48	39.7	200	0	38	0
49	2.14	20	0	19	0
50	0.0507	1	0	4	0
51	6.89	40	0	25	0
52	0.179	2	0	5	2
53	22.4	1000	0	15	2
54	23.4	1000	0	16	2
55	6.8	50	0	20	1
56	0.0289	1	0	2	1
57	0.108	2	0	8	0
58	0.0386	1	0	3	1
59	31.9	200	0	37	0
60	38.8	50	31.9	21	1
61	7.64	40	0	27	0
62	4.21	40	0	9	2
63	1.49	20	0.0507	7	2
64	2.71	40	0.0568	18	1
65	0.0598	1	0	2	2
66	8.58	40	0	28	0
67	0.179	2	0	4	2
68	1.21	20	0	6	2
69	42.7	1000	6.89	17	2
70	1.52	10	0	18	0
71	0.924	5	0	15	0
72	27.3	200	0	26	1
73	0.533	4	0	9	1
74	0.0679	2	0	5	1
75	39.2	1000	0.071	18	2
76	0.071	1	0	5	0
77	0.991	5	0	16	0
78	99.6	500	0.0312	35	1
79	27.7	200	0	35	0
80	7.31	40	0	26	0
81	18.4	100	0	33	0
82	9.22	50	0	30	0
83	0.0478	1	0	4	1
84	91.8	400	0	39	0
85	8.89	50	0	29	0
86	0.0673	1	0	3	2
87	4.9	200	0	12	2
88	0.639	5	0	12	0
89	0.934	10	0	12	1
90	23.6	100	0	23	1
91	303	1000	8.58	36	1
92	124	200	91.8	29	1
93	0.0772	1	0	6	0
94	6.24	20	0	24	0
95	0.0805	1	0	7	0
96	142	500	24.7	41	0
97	27.8	200	0	36	0
