1481406354
task	R	T	Offset	priority	allocation
30	0.011	1	0	1	1
31	18.1	400	0.947	16	2
32	7.06	100	0	12	2
33	31.8	500	0.011	17	2
34	0.0603	1	0	2	0
35	0.0462	1	0	1	0
36	10.2	20	7.99	20	0
37	20.3	50	7.99	29	0
38	0.974	10	0	11	1
39	113	400	0	42	0
40	0.0232	1	0	2	1
41	47.6	500	0.0405	20	1
42	1.16	10	0	16	0
43	0.265	4	0	3	2
44	9.62	100	0	13	2
45	0.947	10	0	15	0
46	114	500	0.0232	43	0
47	1.36	5	0.913	5	2
48	2.61	20	0	21	0
49	0.653	1	0.613	0	2
50	3.78	20	0	14	1
51	0.0625	1	0	3	0
52	9.64	200	0	14	2
53	8.28	50	0	26	0
54	1.41	20	0	18	0
55	1.9	40	0	9	2
56	1.07	20	0	8	2
57	0.534	5	0	6	2
58	117	1000	0	25	1
59	33.7	50	28.2	17	1
60	290	1000	1.41	26	1
61	0.238	5	0	10	0
62	1.25	10	0	12	1
63	95.6	500	12.3	19	2
64	1.98	2	1.9	5	0
65	2.13	40	0	10	2
66	2.05	4	1.9	7	0
67	0.411	10	0	11	0
68	93.1	400	0	39	0
69	95.3	400	0	40	0
70	0.0259	1	0	3	1
71	70.6	500	0	18	2
72	120	1000	0	22	2
73	112	1000	0	23	1
74	4.54	50	0	11	2
75	98.1	500	0	20	2
76	13.7	50	0	30	0
77	65	200	0	37	0
78	0.0448	1	0	1	2
79	118	500	0	44	0
80	145	500	0	45	0
81	148	500	0	46	0
82	0.0734	1	0	4	0
83	79.1	400	0	38	0
84	4.95	40	0	16	1
85	78.6	1000	0	21	1
86	11.9	200	0	15	2
87	118	1000	0	21	2
88	2.76	20	0	22	0
89	14.5	50	0	31	0
90	23.7	200	0.0259	33	0
91	26.7	200	1.25	34	0
92	3.83	20	0	15	1
93	1.28	10	0	17	0
94	1.27	10	0	13	1
95	2.92	20	0	23	0
96	0.0566	1	0	4	1
97	2.98	4	2.76	6	1
98	3.3	4	2.92	4	2
99	3.47	10	2.92	7	2
----------------------------------------
1481406375
task	R	T	Offset	priority	allocation
0	6.68	40	0	15	1
1	7.45	40	0.124	16	1
2	27	400	0	27	1
3	41.6	100	27	31	0
4	0.468	5	0	4	1
5	0.127	2	0	4	0
6	0.0773	1	0	0	0
7	0.124	2	0	3	0
8	298	1000	0	42	0
9	0.0172	1	0	0	1
10	1.98	20	0	12	1
11	0.729	10	0	6	1
12	78	1000	1.18	31	1
13	0.834	20	0	10	1
14	25.9	200	0	26	1
15	1.19	10	0	11	0
16	8.26	50	0.0369	27	0
17	0.617	5	0	8	0
18	2.86	20	0	21	0
19	0.753	1	0.729	0	2
20	139	1000	2.86	33	1
21	233	1000	0.617	34	1
22	7.63	40	0.0773	17	1
23	13.7	100	0	30	0
24	63.7	400	0	36	0
25	7.76	40	0	18	1
26	13.5	100	0	21	1
27	14.9	100	0	23	1
28	116	1000	0.077	32	1
29	278	1000	0	35	1
30	0.15	2	0	2	1
31	0.0906	1	0	1	0
32	1.26	10	0	13	0
33	334	1000	0	44	0
34	228	500	0.729	40	0
35	0.048	2	0	3	2
36	0.748	10	0	7	1
37	0.65	10	0	8	2
38	17.7	100	0.142	32	0
39	2.78	20	0	13	1
40	27.1	200	0	35	0
41	2.28	20	0	18	0
42	0.156	2	0	5	0
43	0.0636	1	0	1	1
44	9.51	100	0	29	0
